Path,Format,Dataset,Weighted,Vertex number,Edge number,Density,Best known solution value,Best known bound
dimacs2010/kronecker/kron_g500-simple-logn21.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/af_shell10.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/af_shell9.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/audikw1.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/cage15.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/ecology1.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/ecology2.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/G3_circuit.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/kkt_power.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/ldoor.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/nlpkkt120.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/nlpkkt160.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/nlpkkt200.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/nlpkkt240.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/matrix/thermal2.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/333SP.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/adaptive.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/AS365.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/channel-500x100x100-b050.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/M6.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/NACA0015.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/NLR.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/packing-500x100x100-b050.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/numerical/venturiLevel3.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_15_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_16_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_17_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_18_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_19_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_20_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_21_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_22_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_23_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/random/rgg_n_2_24_s0.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_barth5_1Ksep_50in_5Kout.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_bcsstk30_500sep_10in_1Kout.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_befref_fxm_2_4_air02.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_bump2_e18_aa01_model1_crew1.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_c-30_data_data.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_c-60_data_cti_cs4.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_data_and_seymourl.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_finan512_scagr7-2c_rlfddd.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_mod2_pgp2_slptsk.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_model1_crew1_cr42_south31.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_msc10848_300sep_100in_1Kout.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_p0291_seymourl_iiasa.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_sctap1-2b_and_seymourl.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_south31_slptsk.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/star-mixtures/vsp_vibrobox_scagr7-2c_rlfddd.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/asia.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/belgium.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/belgium.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/europe.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/germany.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/great-britain.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/italy.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/luxembourg.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/streets/netherlands.osm.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/task/1280000.gr,dimacs2010,dimacs2010,0,,,,,
dimacs2010/task/20000.gr,dimacs2010,dimacs2010,0,,,,,
dimacs2010/task/320000.gr,dimacs2010,dimacs2010,0,,,,,
dimacs2010/task/5120000.gr,dimacs2010,dimacs2010,0,,,,,
dimacs2010/task/80000.gr,dimacs2010,dimacs2010,0,,,,,
dimacs2010/walshaw/144.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/3elt.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/4elt.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/598a.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/add20.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/add32.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/auto.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/bcsstk29.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/bcsstk30.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/bcsstk31.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/bcsstk32.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/bcsstk33.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/brack2.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/crack.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/cs4.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/cti.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/data.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_4elt2.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_body.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_ocean.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_pwt.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_rotor.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_sphere.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/fe_tooth.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/finan512.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/m14b.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/memplus.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/t60k.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/uk.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/vibrobox.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/wave.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/whitaker3.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/wing.graph,chaco,dimacs2010,0,,,,,
dimacs2010/walshaw/wing_nodal.graph,chaco,dimacs2010,0,,,,,
